STATE,COUNTYNAME,FIPS,LON,LAT,area
ME,Washington,23029,-67.6361,45.0363,7181303408.109843
CT,Hartford,09003,-72.7328,41.8064,1947059757.1645262
CT,Tolland,09013,-72.3365,41.855,1081012698.2406862
CT,Windham,09015,-71.9875,41.8299,1351665222.755842
MA,Nantucket,25019,-70.0744,41.2781,127273845.77511792
VT,Windsor,50027,-72.5855,43.5798,2533186176.851953
NH,Sullivan,33019,-72.2223,43.3612,1430886717.614251
NH,Belknap,33001,-71.4233,43.5188,1213865526.82687
NH,Cheshire,33005,-72.2512,42.9193,1890029021.593497
NH,Strafford,33017,-71.0293,43.2975,994356333.7971609
RI,Newport,44005,-71.2366,41.556,279736122.0907243
VT,Lamoille,50015,-72.6414,44.6057,1202673080.3189263
VT,Orange,50017,-72.3769,44.0056,1792686210.198535
VT,Bennington,50003,-73.0929,43.0355,1758156348.761738
VT,Orleans,50019,-72.2438,44.8288,1868292032.149466
VT,Washington,50023,-72.6149,44.2734,1803498938.2444487
VT,Grand Isle,50013,-73.2948,44.7968,504937373.6766501
ME,Androscoggin,23001,-70.2045,44.1654,1272701046.5119083
RI,Bristol,44001,-71.2842,41.7161,66391363.52284199
MA,Dukes,25007,-70.6561,41.3966,280580041.2099306
ME,Knox,23013,-69.173,44.15,984202347.0882404
ME,Sagadahoc,23023,-69.8613,43.9705,685355909.5499667
ME,Lincoln,23015,-69.5431,44.0752,1244432613.8909173
NH,Merrimack,33013,-71.6802,43.2977,2478266640.3673015
MA,Middlesex,25017,-71.3918,42.4855,2195823367.4303813
CT,New Haven,09009,-72.9324,41.4108,1607221771.1152704
CT,Litchfield,09005,-73.2453,41.7925,2451842919.597584
MA,Worcester,25027,-71.9077,42.3514,4092385094.475866
MA,Berkshire,25003,-73.2064,42.3706,2455934816.938131
MA,Franklin,25011,-72.5919,42.5831,1879492492.4547157
MA,Hampshire,25015,-72.6638,42.3401,1414891382.3015485
MA,Norfolk,25021,-71.2248,42.155,1015080515.5024766
ME,Piscataquis,23021,-69.2835,45.838,11307127718.129705
ME,Somerset,23025,-69.9582,45.5138,10614792317.628098
ME,Aroostook,23003,-68.5988,46.6588,17665615601.15748
ME,Oxford,23017,-70.7555,44.499,5646557537.164435
ME,Penobscot,23019,-68.6494,45.4006,9203186656.471836
NH,Carroll,33003,-71.2028,43.8739,2569711977.413875
NH,Hillsborough,33011,-71.716,42.9153,2311753412.310699
RI,Providence,44007,-71.5811,41.8724,1114819547.0500784
RI,Washington,44009,-71.6234,41.4687,912595020.5444292
VT,Chittenden,50007,-73.0809,44.4609,1607716673.049809
VT,Addison,50001,-73.1407,44.0306,2097659254.8512206
VT,Rutland,50021,-73.0366,43.5801,2451089749.941971
VT,Windham,50025,-72.7138,42.9906,2070076781.861473
VT,Franklin,50011,-72.912,44.8574,1794750707.23126
MA,Essex,25009,-70.9581,42.6729,1326816021.2688198
MA,Plymouth,25023,-70.8129,41.9547,1817892473.017844
MA,Hampden,25013,-72.6316,42.1351,1644706483.155594
RI,Kent,44003,-71.5943,41.6719,452013521.0998306
NH,Rockingham,33015,-71.1251,42.9877,1882314001.0670998
ME,York,23031,-70.7156,43.4796,2635190913.6909065
ME,Cumberland,23005,-70.4096,43.8487,2393258251.13692
ME,Franklin,23007,-70.444,44.974,4511677623.448264
CT,New London,09011,-72.1004,41.4893,1768329567.8805006
MA,Suffolk,25025,-71.0818,42.3308,174820968.42262486
ME,Waldo,23027,-69.1478,44.5037,1954944848.7917254
ME,Hancock,23009,-68.3531,44.6749,4379367744.228229
MA,Barnstable,25001,-70.2982,41.7257,1084106072.8632026
ME,Kennebec,23011,-69.7672,44.4093,2463754993.96847
CT,Middlesex,09007,-72.534,41.4624,1004263327.6386956
CT,Fairfield,09001,-73.3887,41.2731,1678679999.5006888
NH,Coos,33007,-71.3057,44.6893,4741588198.710274
VT,Caledonia,50005,-72.1022,44.4647,1703575440.3503172
VT,Essex,50009,-71.7364,44.7281,1745001376.915074
MA,Bristol,25005,-71.1153,41.802,1480330446.9216056
NH,Grafton,33009,-71.8205,43.9409,4533127035.176305
