from_zone,to_zone,b,rateA,length
0,1,0.32936,4743.63,224.88691128355333
0,2,0.8300799999999999,9517.4,195.491937671692
0,4,1.51249,10491.05,252.4557246726185
0,5,2.4559200000000003,21379.149999999998,332.12150486418295
0,6,3.34131,15069.429999999998,95.8872249966995
0,7,0.22675,4498.930000000001,210.3879507596757
0,8,0.9212,2518.72,82.61552315794067
1,0,0.0096,346.22,224.88691128355333
1,2,0.0765199999999999,1207.51,82.43206904446292
1,3,0.0508799999999999,1246.87,333.78391133734175
1,4,0.01974,777.8599999999999,84.80206036217604
1,5,0.053,942.36,459.6052978788174
1,6,0.015,144.31,262.2047947956751
1,7,0.7447699999999999,8692.59,60.477657446517895
1,8,1.1409200000000004,8918.859999999997,249.06582009414595
1,9,0.09082,915.1,95.23272432231227
2,0,1.07991,11655.98,195.491937671692
2,1,0.02888,925.83,82.43206904446292
2,4,0.2905400000000001,3516.11,164.1365177168721
2,5,2.01962,17628.499999999996,381.05107786138404
2,6,0.2476099999999999,2910.1600000000008,260.6438206341858
2,7,0.07637,915.07,24.934032543775142
2,8,0.27325,3544.54,245.70903940779462
3,1,0.4937499999999999,3774.16,333.78391133734175
3,2,0.03573,322.09000000000003,253.9744557604835
3,4,0.1444,1522.86,406.3834398268733
3,5,0.01386,466.15,127.9651214873574
3,7,1.2060600000000004,12768.29,278.7289566973137
3,8,0.15114,1298.79,323.2635128827118
3,9,3.278129999999998,41573.4,411.9205432349186
4,0,2.0840300000000003,13019.37,252.4557246726185
4,1,0.09883,1741.41,84.80206036217604
4,2,0.37038,5110.050000000001,164.1365177168721
4,3,0.00962,143.33,406.3834398268733
4,5,1.65536,14912.95,528.9231307435845
4,6,4.449860000000001,26557.439999999995,258.3149898185277
4,7,0.41897,5763.34,144.44202341731315
4,8,0.3542,6287.73,248.45977244020546
4,9,0.12932,1438.76,12.682226509929402
5,0,2.94214,21860.340000000007,332.12150486418295
5,1,0.17671,1660.64,459.6052978788174
5,2,0.75667,8987.31,381.05107786138404
5,3,0.00241,358.02,127.9651214873574
5,4,2.97106,19417.3,528.9231307435845
5,6,0.72716,3125.9500000000003,416.72633895478714
5,7,2.19945,20173.309999999998,405.9150315196424
5,8,0.78904,3839.21,407.52118749126265
5,9,0.00847,151.56,533.5017714720367
6,0,1.9849300000000007,15649.159999999998,95.8872249966995
6,1,0.00281,157.79,262.2047947956751
6,2,0.06439,856.47,260.6438206341858
6,4,2.402599999999999,20269.640000000003,258.3149898185277
6,5,0.0643,847.4200000000001,416.72633895478714
6,8,0.02808,507.58,15.266011542510327
6,9,0.03588,131.24,252.16061357462567
7,0,0.74229,5505.12,210.3879507596757
7,1,0.46422,5381.08,60.477657446517895
7,2,0.30508,1970.68,24.934032543775142
7,3,0.8471000000000001,9877.26,278.7289566973137
7,4,0.43803,5677.04,144.44202341731315
7,5,1.36963,16309.890000000009,405.9150315196424
7,6,0.19185,935.4,268.5364919306613
7,8,1.85305,19782.020000000004,253.9546677139216
7,9,1.03158,8820.97,154.06857833314206
8,1,0.41831,7732.15,249.06582009414595
8,2,0.2275,3075.32,245.70903940779462
8,3,0.10213,628.05,323.2635128827118
8,4,0.31416,4220.209999999999,248.45977244020546
8,5,0.7015699999999999,3932.58,407.52118749126265
8,7,0.68756,10541.919999999998,253.9546677139216
8,9,0.0309,326.79,242.83831516625287
9,1,0.04736,660.41,95.23272432231227
9,2,0.00778,157.97,172.89166277306734
9,3,5.950670000000001,59826.59,411.9205432349186
9,4,0.01217,166.0,12.682226509929402
9,7,1.1889999999999998,9722.12,154.06857833314206
9,8,0.00153,126.49,242.83831516625287
