branch_id,from_bus_id,to_bus_id,b,max_flow
0,182,935,0.001852732914933838,8157.099999999999
1,182,1697,0.0017708695652173916,3713.8500000000004
2,935,182,0.003236899810964083,7267.32
3,935,1697,0.006500235863894143,17800.38000000001
4,935,2127,0.0007637051039697542,2294.9
5,935,2270,0.0001921361058601134,138.94
6,1697,182,0.0019750283553875234,3353.02
7,1697,935,0.005872666616257087,23483.94
8,1697,2127,0.0035838941398865787,7132.380000000001
9,1697,2270,0.003287592083175805,10328.84
10,2127,935,0.0007400300415879017,3696.0299999999997
11,2127,1697,0.004463086699432892,13630.25
12,2270,935,0.0004396975425330813,227.39
13,2270,1697,0.004071682419659735,5986.289999999999
